TOPIC,DESCRIPTION,NOTES
Objective 🎯,What is the business issue to solve?,
Value 💸,How much business value will the project generate?,
Performance Metric 🎉,What is the best metric to assess if the project is a success?,
Performance Level 💯,What is the performance level to achieve?,
Deliverable 📦,What is the deliverable?,
Complexity 🧠,How complex is the problem from the technical perspective?,
Users 👩🏻‍💻,Who is going to use the deliverable?,
Usage 💼,How will they use it?,
Constraints 🚧,What are the operational constraints of the business?,
Costs 💰,What is the actual and future costs of the project?,
Sponsors 👔,Who is sponsoring the project?,
Budget Owner 🎖,Who is funding the development of this project?,
Decision Makers 🙋🏻‍♂️,Who has the final say on the project?,
Contributors 👥,Who is working operationally on the project?,
Roles 🐜,What will be the role of each contributor in the project?,
Rules 📜,What are the rules to apply during this project?,
Ethics 🕊,Does the project comply with the company ethics?,
Legal 🖋,Is the project compliant with the local and global regulations?,
Timeline 🗓,"What is the project timeline, including key milestones?",
Documentation 📚,Is there any existing documentation or previous work related to this project ?,
Data availability 🛢,How to access the data now and in the future?,
Data size 📐,What is the total size of the data?,
Data sources 🌏,Where is the data stored?,
Data format 📀,What is the format of the data?,
Data accuracy 🔬,What is the quality of the data?,
Data dictionary 📖,Is there a description of the available datasets?,
Data Labelling 🔖,Does the project require data labelling?,
Model Evaluation 📈,What is the offline metric used to evaluate the model?,
Model Performance 🏆,What is the expected model performance based on that metric?,
Agile 🐙,Does the team know how to work together in agile mode?,
Development 💻,Is there a collaborative development environment available to everyone?,
Infrastructure ⚡️,"Does the infrastructure has enough computing power, storage, and network bandwidth?",
Production 🚢,Do you have a clearly defined process to release the project in production?,
Maintenance 🛠,Who is going to do the maintenance after the release?,
Monitoring 🎧,Is there a monitoring system to measure and validate metrics after the release?,
Communication 🎤,What is the communication strategy around this project?,
